state,date,dates,confirmed
AN,2020-08-26,"{'delta': {'confirmed': 40, 'deceased': 4, 'recovered': 78, 'tested': 564}, 'total': {'confirmed': 2985, 'deceased': 41, 'recovered': 2309, 'tested': 31646}}",2985.0
AN,2020-08-27,"{'delta': {'confirmed': 33, 'deceased': 1, 'recovered': 65, 'tested': 184}, 'total': {'confirmed': 3018, 'deceased': 42, 'recovered': 2374, 'tested': 31830}}",3018.0
AN,2020-08-28,"{'delta': {'confirmed': 32, 'recovered': 70, 'tested': 270}, 'total': {'confirmed': 3050, 'deceased': 42, 'recovered': 2444, 'tested': 32100}}",3050.0
AN,2020-08-29,"{'delta': {'confirmed': 31, 'deceased': 2, 'recovered': 75, 'tested': 307}, 'total': {'confirmed': 3081, 'deceased': 44, 'recovered': 2519, 'tested': 32407}}",3081.0
AN,2020-08-30,"{'delta': {'confirmed': 23, 'deceased': 1, 'recovered': 67, 'tested': 267}, 'total': {'confirmed': 3104, 'deceased': 45, 'recovered': 2586, 'tested': 32674}}",3104.0
AN,2020-08-31,"{'delta': {'confirmed': 28, 'deceased': 1, 'recovered': 61, 'tested': 811}, 'total': {'confirmed': 3132, 'deceased': 46, 'recovered': 2647, 'tested': 33485}}",3132.0
AN,2020-09-01,"{'delta': {'confirmed': 28, 'recovered': 67, 'tested': 1619}, 'total': {'confirmed': 3160, 'deceased': 46, 'recovered': 2714, 'tested': 35104}}",3160.0
AN,2020-09-02,"{'delta': {'confirmed': 26, 'deceased': 1, 'recovered': 44, 'tested': 1032}, 'total': {'confirmed': 3186, 'deceased': 47, 'recovered': 2758, 'tested': 36136}}",3186.0
AN,2020-09-03,"{'delta': {'confirmed': 37, 'deceased': 1, 'recovered': 65, 'tested': 939}, 'total': {'confirmed': 3223, 'deceased': 48, 'recovered': 2823, 'tested': 37075}}",3223.0
AN,2020-09-04,"{'delta': {'confirmed': 34, 'deceased': 1, 'recovered': 40, 'tested': 750}, 'total': {'confirmed': 3257, 'deceased': 49, 'recovered': 2863, 'tested': 37825}}",3257.0
AN,2020-09-05,"{'delta': {'confirmed': 35, 'deceased': 1, 'recovered': 41, 'tested': 749}, 'total': {'confirmed': 3292, 'deceased': 50, 'recovered': 2904, 'tested': 38574}}",3292.0
AN,2020-09-06,"{'delta': {'confirmed': 40, 'recovered': 47, 'tested': 631}, 'total': {'confirmed': 3332, 'deceased': 50, 'recovered': 2951, 'tested': 39205}}",3332.0
AN,2020-09-07,"{'delta': {'confirmed': 27, 'recovered': 46, 'tested': 790}, 'total': {'confirmed': 3359, 'deceased': 50, 'recovered': 2997, 'tested': 39995}}",3359.0
AN,2020-09-08,"{'delta': {'confirmed': 33, 'recovered': 38, 'tested': 1044}, 'total': {'confirmed': 3392, 'deceased': 50, 'recovered': 3035, 'tested': 41039}}",3392.0
AN,2020-09-09,"{'delta': {'confirmed': 34, 'deceased': 1, 'recovered': 43, 'tested': 737}, 'total': {'confirmed': 3426, 'deceased': 51, 'recovered': 3078, 'tested': 41776}}",3426.0
AN,2020-09-10,"{'delta': {'confirmed': 39, 'recovered': 43, 'tested': 1016}, 'total': {'confirmed': 3465, 'deceased': 51, 'recovered': 3121, 'tested': 42792}}",3465.0
AN,2020-09-11,"{'delta': {'confirmed': 29, 'recovered': 36, 'tested': 888}, 'total': {'confirmed': 3494, 'deceased': 51, 'recovered': 3157, 'tested': 43680}}",3494.0
AN,2020-09-12,"{'delta': {'confirmed': 27, 'recovered': 45, 'tested': 890}, 'total': {'confirmed': 3521, 'deceased': 51, 'recovered': 3202, 'tested': 44570}}",3521.0
AN,2020-09-13,"{'delta': {'confirmed': 25, 'recovered': 41, 'tested': 709}, 'total': {'confirmed': 3546, 'deceased': 51, 'recovered': 3243, 'tested': 45279}}",3546.0
AN,2020-09-14,"{'delta': {'confirmed': 11, 'deceased': 1, 'recovered': 35, 'tested': 708}, 'total': {'confirmed': 3557, 'deceased': 52, 'recovered': 3278, 'tested': 45987}}",3557.0
AN,2020-09-15,"{'delta': {'confirmed': 17, 'recovered': 40, 'tested': 836}, 'total': {'confirmed': 3574, 'deceased': 52, 'recovered': 3318, 'tested': 46823}}",3574.0
AN,2020-09-16,"{'delta': {'confirmed': 19, 'recovered': 27, 'tested': 971}, 'total': {'confirmed': 3593, 'deceased': 52, 'recovered': 3345, 'tested': 47794}}",3593.0
AN,2020-09-17,"{'delta': {'confirmed': 11, 'recovered': 33, 'tested': 1067}, 'total': {'confirmed': 3604, 'deceased': 52, 'recovered': 3378, 'tested': 48861}}",3604.0
AN,2020-09-18,"{'delta': {'confirmed': 27, 'recovered': 36, 'tested': 1174}, 'total': {'confirmed': 3631, 'deceased': 52, 'recovered': 3414, 'tested': 50035}}",3631.0
AN,2020-09-19,"{'delta': {'confirmed': 13, 'recovered': 22}, 'total': {'confirmed': 3644, 'deceased': 52, 'recovered': 3436, 'tested': 50035}}",3644.0
AN,2020-09-20,"{'delta': {'confirmed': 7, 'recovered': 15}, 'total': {'confirmed': 3651, 'deceased': 52, 'recovered': 3451, 'tested': 50035}}",3651.0
AP,2020-03-12,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 1}}",1.0
AP,2020-03-13,{'total': {'confirmed': 1}},1.0
AP,2020-03-14,{'total': {'confirmed': 1}},1.0
AP,2020-03-15,{'total': {'confirmed': 1}},1.0
AP,2020-03-16,{'total': {'confirmed': 1}},1.0
AP,2020-03-17,{'total': {'confirmed': 1}},1.0
AP,2020-03-18,{'total': {'confirmed': 1}},1.0
AP,2020-03-19,"{'delta': {'confirmed': 2}, 'total': {'confirmed': 3}}",3.0
AP,2020-03-20,{'total': {'confirmed': 3}},3.0
AP,2020-03-21,"{'delta': {'confirmed': 2}, 'total': {'confirmed': 5}}",5.0
AP,2020-03-22,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 6}}",6.0
AP,2020-03-23,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 7}}",7.0
AP,2020-03-24,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 8}}",8.0
AP,2020-03-25,"{'delta': {'confirmed': 2}, 'total': {'confirmed': 10}}",10.0
AP,2020-03-26,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 11}}",11.0
AP,2020-03-27,"{'delta': {'confirmed': 2}, 'total': {'confirmed': 13}}",13.0
